x,xl,y,yl
http://purl.obolibrary.org/obo/PATO_0001428,medium acidity,http://purl.obolibrary.org/obo/PATO_0001842,acidity
http://purl.obolibrary.org/obo/PATO_0002173,misaligned towards,http://purl.obolibrary.org/obo/PATO_0001654,misaligned with
http://purl.obolibrary.org/obo/PATO_0001427,compound acidity,http://purl.obolibrary.org/obo/PATO_0001842,acidity
http://purl.obolibrary.org/obo/PATO_0001599,rotated,http://purl.obolibrary.org/obo/PATO_0000614,oriented
http://purl.obolibrary.org/obo/PATO_0001005,latency,http://purl.obolibrary.org/obo/PATO_0000502,delayed
http://purl.obolibrary.org/obo/PATO_0002174,misaligned away from,http://purl.obolibrary.org/obo/PATO_0001654,misaligned with
http://purl.obolibrary.org/obo/PATO_0000965,symmetry,http://purl.obolibrary.org/obo/PATO_0000440,regular spatial pattern
http://purl.obolibrary.org/obo/PATO_0001752,peramorphic growth,http://purl.obolibrary.org/obo/PATO_0001490,heterochronic growth
http://purl.obolibrary.org/obo/PATO_0001398,self-renewal,http://purl.obolibrary.org/obo/PATO_0002102,proliferative
http://purl.obolibrary.org/obo/PATO_0001868,autofluorescence,http://purl.obolibrary.org/obo/PATO_0000018,fluorescence
